term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2014,72295,BU 0211,D,3.000,Legal Environment of Business,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'DSB 109'}]",['MR 1100am-1215pm 09/02-12/08 DSB 109'],Debra M.  Strauss,Debra M.  Strauss (P),25,25,0
Fall2014,73062,BU 0211,E,3.000,Legal Environment of Business,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'DSB 109'}]",['MR 1230pm-0145pm 09/02-12/08 DSB 109'],Debra M.  Strauss,Debra M.  Strauss (P),25,27,-2
Fall2014,73264,BU 0211,F,3.000,Legal Environment of Business,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/02-12/08', 'location': 'DSB 104'}]",['W 1100am-0130pm 09/02-12/08 DSB 104'],Debra M.  Strauss,Debra M.  Strauss (P),25,26,-1
Fall2014,70354,BU 0320,A,3.000,Employment Law and Discrimination in the Workplace,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 109'}]",['T 0630pm-0900pm 09/02-12/08 DSB 109'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),25,9,16
Fall2014,72381,BB 0115,01,0.000,SHRM Learning Systems(Members),"[{'days': 'T', 'times': '0600pm-0900pm', 'dates': '09/09-11/18', 'location': 'DMH 350'}]",['T 0600pm-0900pm 09/09-11/18 DMH 350'],Raymond T.  Lamanna,Raymond T.  Lamanna (P),20,10,10
Fall2014,72384,BB 0115,02,0.000,SHRM Learning Systems(non-Mem),"[{'days': 'T', 'times': '0600pm-0900pm', 'dates': '09/09-11/18', 'location': 'DMH 350'}]",['T 0600pm-0900pm 09/09-11/18 DMH 350'],Raymond T.  Lamanna,Raymond T.  Lamanna (P),20,5,15
Fall2014,71791,BB 0121,01,0.000,SHRM Essentials of Human Resource Management,"[{'days': 'FS', 'times': '0900am-0400pm', 'dates': '12/12-12/13', 'location': 'NYS 107C'}]",['FS 0900am-0400pm 12/12-12/13 NYS 107C'],Raymond T.  Lamanna,Raymond T.  Lamanna (P),15,11,4
Fall2014,72383,BB 0123,01,0.000,Strategic Management,"[{'days': 'F', 'times': '0900am-0500pm', 'dates': '10/24-10/24', 'location': 'CNS 5'}, {'days': 'F', 'times': '0900am-0500pm', 'dates': '11/14-11/14', 'location': 'CNS 5'}]","['F 0900am-0500pm 10/24-10/24 CNS 5', 'F 0900am-0500pm 11/14-11/14 CNS 5', 'F 0900am-0500pm 11/14-11/14 CNS 5']",Raymond T.  Lamanna,Raymond T.  Lamanna (P),15,7,8
Fall2014,71029,BB 0130,01,0.000,Fundamentals and Principles of Personal Financial Planning,"[{'days': 'W', 'times': '0600pm-0930pm', 'dates': '09/10-11/19', 'location': 'MCA 204'}]",['W 0600pm-0930pm 09/10-11/19 MCA 204'],Paul A.  Rivera,Paul A.  Rivera (P),15,10,5
Fall2014,71210,BB 0132,01,0.000,Insurance Planning and Risk Management,"[{'days': 'T', 'times': '0600pm-0930pm', 'dates': '10/07-12/16', 'location': 'MCA 206'}]",['T 0600pm-0930pm 10/07-12/16 MCA 206'],Michael D.  Strouch,Michael D.  Strouch (P),15,5,10
